fy,group,fte,basis,cite
2022-23,General Fund - 2000 Support Services,2169.42,adopted,budget-fy2023-24-vol1 p95
2022-23,General Fund - 3000 Enterprise And Community Svcs,12.88,adopted,budget-fy2022-23-vol1 p150
2022-23,General Fund - 3000 Enterprise And Community Svcs,12.88,adopted,budget-fy2023-24-vol1 p95
2022-23,General Fund - TOTAL,5218.23,adopted,budget-fy2023-24-vol1 p95
2022-23,General Fund - TOTAL,5218.24,adopted,budget-fy2022-23-vol1 p150
2022-23,Total - all functions (district FTE),107.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),1126.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),12408.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),1336.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),1518.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),339.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),6520.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),6520.00,actual-budgetary,tscc-annual-report-2024-25-summaries p83
2022-23,Total - all functions (district FTE),6520.00,actual-budgetary,tscc-review-fy2026 p3
2022-23,Total - all functions (district FTE),6530.00,actual-budgetary,tscc-review-fy2025 p3
2022-23,Total - all functions (district FTE),6530.00,revised,tscc-review-fy2024 p3
2022-23,Total - all functions (district FTE),676.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),712.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),74.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2022-23,Total - all functions (district FTE),746.00,actual-budgetary,tscc-annual-report-2024-25-summaries p79
2023,District Level Administration,4.00,actual-acfr,acfr-fy2025 p142
2023,Educational Assistants,675.90,actual-acfr,acfr-fy2025 p142
2023,Other Staff,2595.80,actual-acfr,acfr-fy2025 p142
2023,School Level Administration,179.00,actual-acfr,acfr-fy2025 p142
2023,Teachers,2685.60,actual-acfr,acfr-fy2025 p142
2023,Total FTE,6140.30,actual-acfr,acfr-fy2025 p142
2023-24,All Funds - 1000 Instruction,3445.61,adopted,budget-fy2023-24-vol1 p87
2023-24,All Funds - 1000 Instruction,3445.61,adopted,budget-fy2024-25-vol1 p92
2023-24,All Funds - 2000 Support Services,2511.98,adopted,budget-fy2023-24-vol1 p87
2023-24,All Funds - 2000 Support Services,2511.98,adopted,budget-fy2024-25-vol1 p92
2023-24,All Funds - 3000 Enterprise And Community Svcs,238.87,adopted,budget-fy2023-24-vol1 p87
2023-24,All Funds - 3000 Enterprise and Community Services,238.87,adopted,budget-fy2024-25-vol1 p92
2023-24,All Funds - 4000 Facilities Acquisition And Con,50.00,adopted,budget-fy2023-24-vol1 p87
2023-24,All Funds - 4000 Facilities Acquisition and Construction,50.00,adopted,budget-fy2024-25-vol1 p92
2023-24,All Funds - Employee Type: 111 Licensed Salaries,3493.29,adopted,budget-fy2024-25-vol1 p93
2023-24,All Funds - Employee Type: 1121 Classified - Represented,1928.71,adopted,budget-fy2024-25-vol1 p93
2023-24,All Funds - Employee Type: 1122 Non-Represented Staff,546.97,adopted,budget-fy2024-25-vol1 p93
2023-24,All Funds - Employee Type: 113 Administrators,277.50,adopted,budget-fy2024-25-vol1 p93
2023-24,All Funds - Grand Total (FTE by Major Function and Employee Type),6246.46,proposed,budget-fy2023-24-vol1 p220
2023-24,All Funds - TOTAL,6246.46,adopted,budget-fy2023-24-vol1 p87
2023-24,All Funds - Total,6246.46,adopted,budget-fy2024-25-vol1 p92
2023-24,Capital Projects Funds - Total,51.80,adopted,budget-fy2024-25-vol1 p156
2023-24,General Fund - 1000 Instruction,2886.28,adopted,budget-fy2023-24-vol1 p95
2023-24,General Fund - 1000 Instruction,2886.28,adopted,budget-fy2024-25-vol1 p100
2023-24,General Fund - 2000 Support Services,2139.72,adopted,budget-fy2023-24-vol1 p95
2023-24,General Fund - 2000 Support Services,2139.72,adopted,budget-fy2024-25-vol1 p100
2023-24,General Fund - 3000 Enterprise And Community Svcs,17.55,adopted,budget-fy2023-24-vol1 p95
2023-24,General Fund - 3000 Enterprise and Community Services,17.55,adopted,budget-fy2024-25-vol1 p100
2023-24,General Fund - TOTAL,5043.55,adopted,budget-fy2023-24-vol1 p95
2023-24,General Fund - Total,5043.55,adopted,budget-fy2024-25-vol1 p100
2023-24,Internal Service Funds - Total,2.28,adopted,budget-fy2024-25-vol1 p192
2023-24,Special Revenue Funds - Total,1148.84,adopted,budget-fy2024-25-vol1 p113
2023-24,Total - all functions (district FTE),1121.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),113.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),12316.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),1382.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),1610.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),357.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),6247.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),6247.00,actual-budgetary,tscc-annual-report-2024-25-summaries p83
2023-24,Total - all functions (district FTE),6247.00,actual-budgetary,tscc-review-fy2026 p3
2023-24,Total - all functions (district FTE),6247.00,revised,tscc-review-fy2025 p3
2023-24,Total - all functions (district FTE),70.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),706.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),710.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2023-24,Total - all functions (district FTE),778.00,actual-budgetary,tscc-annual-report-2024-25-summaries p79
2024,District Level Administration,4.00,actual-acfr,acfr-fy2025 p142
2024,Educational Assistants,693.00,actual-acfr,acfr-fy2025 p142
2024,Other Staff,2628.40,actual-acfr,acfr-fy2025 p142
2024,School Level Administration,169.50,actual-acfr,acfr-fy2025 p142
2024,Teachers,2650.90,actual-acfr,acfr-fy2025 p142
2024,Total FTE,6145.80,actual-acfr,acfr-fy2025 p142
2024-25,All Funds - 1000 Instruction,3370.72,adopted,budget-fy2024-25-vol1 p92
2024-25,All Funds - 1000 Instruction,3370.72,revised,budget-fy2025-26-vol1 p90
2024-25,All Funds - 111 Licensed Salaries,3410.58,revised,budget-fy2025-26-vol1 p91
2024-25,All Funds - 1121 Classified Represented,1818.49,revised,budget-fy2025-26-vol1 p91
