group,fte,fy,basis,doc_id,page,notes,fragment
Total - all functions (district FTE),1114,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),12101,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),133,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),1336,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,"district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns); summaries p.90 prints 1,381 for FY24 (vs 1,382 here)",tscc
Total - all functions (district FTE),1493,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),355,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),6212,2021-22,actual-budgetary,tscc-review-fy2024,3,PPS,tscc
Total - all functions (district FTE),6212,2021-22,actual-budgetary,tscc-review-fy2025,3,"PPS; CONFLICT: 6,274 in FY26 review/annual report",tscc
Total - all functions (district FTE),6274,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),6274,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
Total - all functions (district FTE),6274,2021-22,actual-budgetary,tscc-review-fy2026,3,"PPS; 'Number of Employees (FTE's)' in General Information table; NOT by function (function-level FTE chart pp.10-11 is image-only, no text extracted); CONFLICT: FY24/FY25 reviews print 6,212 for 2021-22",tscc
Total - all functions (district FTE),641,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns); CONFLICT: summaries p.79 prints 712/746/778 for FY22-24 (784 FY25 agrees),tscc
Total - all functions (district FTE),680,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),712,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710),tscc
Total - all functions (district FTE),75,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns),tscc
