fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes,fragment
601 Self Insurance Fund,,7174.6,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
601 Self Insurance Fund,,8110.085,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
601 Self Insurance Fund,8016.601,8016.601,2016-17,actual-budgetary,budget-fy2018-19-book,132,,fy2018-19
All Funds Total,1147352,1147352,2016-17,actual-budgetary,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
Cafeteria Fund (202),24468,24468,2016-17,actual-budgetary,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Capital Asset Renewal Fund (445),4188,4188,2016-17,actual-budgetary,budget-fy2019-20-book,151,,fy2019-20
Capital Projects Funds (400),310680,310680,2016-17,actual-budgetary,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Construction Excise Fund (404),23223,23223,2016-17,actual-budgetary,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Debt Service Funds (300),100875,100875,2016-17,actual-budgetary,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Dedicated Resource Fund (299),14809,14809,2016-17,actual-budgetary,budget-fy2019-20-book,112,,fy2019-20
Energy Efficient Schools Fund (435),2448,2448,2016-17,actual-budgetary,budget-fy2019-20-book,146,,fy2019-20
Facilities Capital Fund (438),4797,4797,2016-17,actual-budgetary,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Full Faith and Credit Debt Service Fund (320),1352,1352,2016-17,actual-budgetary,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Fund (420),19281,19281,2016-17,actual-budgetary,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
General Fund (100),600301,600301,2016-17,actual-budgetary,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
GO Bonds Debt Service Fund (350),52040,52040,2016-17,actual-budgetary,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Fund (450),244242,244242,2016-17,actual-budgetary,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
Grants Fund (205),59803,59803,2016-17,actual-budgetary,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Internal Service Funds (600),8017,8017,2016-17,actual-budgetary,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
IT Projects Debt Service Fund (307),2707,2707,2016-17,actual-budgetary,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT System Project Fund (407),1907,1907,2016-17,actual-budgetary,budget-fy2019-20-book,141,,fy2019-20
Partnership Funds (470),10594,10594,2016-17,actual-budgetary,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
PERS Rate Stabilization Reserve Fund (225),16813,16813,2016-17,actual-budgetary,budget-fy2019-20-book,110,,fy2019-20
PERS UAL Debt Service Fund (308),44775,44775,2016-17,actual-budgetary,budget-fy2019-20-book,128,,fy2019-20
Self Insurance Fund (601),8017,8017,2016-17,actual-budgetary,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Special Revenue Funds (200),127479,127479,2016-17,actual-budgetary,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Student Body Activity Fund (201),11585,11585,2016-17,actual-budgetary,budget-fy2019-20-book,98,,fy2019-20
Total District Budget (all funds),1147351.937,1147351.937,2016-17,actual-budgetary,budget-fy2018-19-book,70,district total from Requirements by Major Program (All Funds) table,fy2018-19
Total District Budget by Fund,,1149712.056,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
Total District Budget by Fund,,1155020.847,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
Total District Budget by Fund,,1155904.832,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
Total District Budget by Fund,,1161474.864,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
100 - General Fund,633966,633966,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements),fy2020-21
101 General Fund,,616286.841,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
101 General Fund,,617286.841,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
101 General Fund,,617286.841,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
101 General Fund,631466.922,631466.922,2017-18,revised,budget-fy2018-19-book,83,,fy2018-19
201 - Student Body Activity Fund,11561,11561,2017-18,actual-budgetary,budget-fy2020-21-vol1,134,,fy2020-21
201 Student Body Activity Fund,,13095.969,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
201 Student Body Activity Fund,,13095.969,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
201 Student Body Activity Fund,,13095.969,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
201 Student Body Activity Fund,13257.383,13257.383,2017-18,revised,budget-fy2018-19-book,93,,fy2018-19
202 - Cafeteria Fund,23206,23206,2017-18,actual-budgetary,budget-fy2020-21-vol1,137,,fy2020-21
202 Cafeteria Fund,,22089.840,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
202 Cafeteria Fund,,22089.840,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
202 Cafeteria Fund,,22089.840,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
202 Cafeteria Fund,24116.008,24116.008,2017-18,revised,budget-fy2018-19-book,94,,fy2018-19
205 - Grants Fund,59778,59778,2017-18,actual-budgetary,budget-fy2020-21-vol1,141,,fy2020-21
205 Grants Fund,,83496.898,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
205 Grants Fund,,83496.898,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
205 Grants Fund,,83496.898,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
205 Grants Fund,83496.898,83496.898,2017-18,revised,budget-fy2018-19-book,97,,fy2018-19
225 - PERS Rate Stabilization Reserve Fund,17209,17209,2017-18,actual-budgetary,budget-fy2020-21-vol1,151,,fy2020-21
225 PERS Rate Stabilization Reserve Fund,,17070.884,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
225 PERS Rate Stabilization Reserve Fund,,17070.884,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
225 PERS Rate Stabilization Reserve Fund,,17070.884,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
225 PERS Rate Stabilization Reserve Fund,17138.218,17138.218,2017-18,revised,budget-fy2018-19-book,106,,fy2018-19
251 - Student Investment Account Fund,0,0,2017-18,actual-budgetary,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-'; printed as '-',fy2020-21
299 - Dedicated Resource Fund,18858,18858,2017-18,actual-budgetary,budget-fy2020-21-vol1,158,,fy2020-21
299 Dedicated Resource Fund,,16653.023,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
299 Dedicated Resource Fund,,16653.023,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
299 Dedicated Resource Fund,,16844.643,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
299 Dedicated Resource Fund,16653.023,16653.023,2017-18,revised,budget-fy2018-19-book,107,,fy2018-19
307 - IT Projects Debt Service Fund,2708,2708,2017-18,actual-budgetary,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget),fy2020-21
