source,amount_k,fy,basis,doc_id,page,notes,fragment
Local Revenue,12965,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Local Revenue,12965,2024-25,approved,tscc-review-fy2025,18,,tscc
Local Revenue,12965,2024-25,revised,tscc-review-fy2026,19,,tscc
Other Income,11689,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Other Income,11689,2024-25,approved,tscc-review-fy2025,18,,tscc
Other Income,11689,2024-25,revised,tscc-review-fy2026,19,,tscc
Other Revenue From Local Sources,26749,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue From Local Sources,26749,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue From Local Sources,26749,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue from Local Sources,26749,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
Other Revenue from Local Sources,30018,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Property Tax,463157,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Property Tax,463157,2024-25,approved,tscc-review-fy2025,18,,tscc
Property Tax,463157,2024-25,revised,tscc-review-fy2026,19,,tscc
Revenue - Intermediate Sources (2000),12306,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Revenue - Intermediate Sources (2000),12306,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Revenue - Intermediate Sources (2000),12306,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),15,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),15,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),15,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From State Sources (3000),271565,2024-25,adopted,budget-fy2024-25-vol1,99,"detail p103: 431010 SSF General Support 265522; 431030 Common School Fund 6042",fy2024-25
Revenue From State Sources (3000),271565,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From State Sources (3000),271565,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
State Revenue,271565,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
State Revenue,271565,2024-25,approved,tscc-review-fy2025,18,,tscc
State Revenue,271565,2024-25,revised,tscc-review-fy2026,19,,tscc
TOTAL FUND RESOURCES,854394,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
TOTAL FUND RESOURCES,854394,2024-25,approved,tscc-review-fy2025,18,,tscc
TOTAL FUND RESOURCES,854394,2024-25,revised,tscc-review-fy2026,19,,tscc
Total Resources,853111,2024-25,proposed,budget-fy2024-25-vol1,99,,fy2024-25
Total Resources,854394,2024-25,adopted,budget-fy2024-25-vol1,99,,fy2024-25
Total Resources,854394,2024-25,approved,budget-fy2024-25-vol1,99,,fy2024-25
Total Resources,854394,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
Total Resources,855834,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,,fy2026-27
Transfers In,0,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,,tscc
Transfers In,0,2024-25,approved,tscc-review-fy2025,18,,tscc
Transfers In,0,2024-25,revised,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)",tscc
Charges for services,88741,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,15533,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,6775,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,168941,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,42686,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,105580,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,16975,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,518615,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only; native unit thousands",acfr-statistical
State Common School Fund,6605,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,268519,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,1238970,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - Revenue - Intermediate Sources,7847,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
2000 - Revenue - Intermediate Sources,7847,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
2000 - Revenue - Intermediate Sources,7847,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
2000 - Revenue - Intermediate Sources,7847,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
3000 - Revenue from State Sources,297191,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
3000 - Revenue from State Sources,297191,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
3000 - Revenue from State Sources,297191,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
3000 - Revenue from State Sources,297191,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
4000 - Revenue from Federal Sources,15,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
4000 - Revenue from Federal Sources,15,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
4000 - Revenue from Federal Sources,15,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
4000 - Revenue from Federal Sources,15,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
5200 - Interfund Transfers,23962,2025-26,adopted,budget-fy2025-26-vol1,98,"PERS Rate Stabilization Reserve (Fund 225) transfer in, $23,962K",fy2025-26
5200 - Interfund Transfers,23962,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,23962,2025-26,approved,budget-fy2025-26-vol1,98,"PERS Rate Stabilization Reserve (Fund 225) transfer in, $23,962K",fy2025-26
5200 - Interfund Transfers,23962,2025-26,proposed,budget-fy2025-26-vol1,98,"PERS Rate Stabilization Reserve (Fund 225) transfer in, $23,962K",fy2025-26
All Other Budget Resources,50,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
All Other Budget Resources,50,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
All Other Budget Resources,50,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
All Other Budget Resources,50,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
Beginning Fund Balance,45000,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
Beginning Fund Balance,45000,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Beginning Fund Balance,45000,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
Beginning Fund Balance,45000,2025-26,approved,tscc-review-fy2026,19,,tscc
Beginning Fund Balance,45000,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Local Option Property Taxes,109222,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Local Option Property Taxes,109222,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Local Option Property Taxes,109222,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Local Option Property Taxes,109222,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Property Taxes other than Local Option,359464,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Property Taxes other than Local Option,359464,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Property Taxes other than Local Option,359464,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Property Taxes other than Local Option,359464,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
Federal Revenue,15,2025-26,approved,tscc-review-fy2026,19,,tscc
Fees and Charges,6365,2025-26,approved,tscc-review-fy2026,19,,tscc
Local Revenue,8814,2025-26,approved,tscc-review-fy2026,19,,tscc
Other Income,12379,2025-26,approved,tscc-review-fy2026,19,,tscc
Other Revenue from Local Sources,25831,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
Other Revenue from Local Sources,25831,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Other Revenue from Local Sources,25831,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
Other Revenue from Local Sources,25831,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
Property Tax,474854,2025-26,approved,tscc-review-fy2026,19,,tscc
State Revenue,297191,2025-26,approved,tscc-review-fy2026,19,,tscc
TOTAL FUND RESOURCES,868580,2025-26,approved,tscc-review-fy2026,19,,tscc
Total Resources,868580,2025-26,adopted,budget-fy2025-26-vol1,98,,fy2025-26
Total Resources,868580,2025-26,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Total Resources,868580,2025-26,approved,budget-fy2025-26-vol1,98,,fy2025-26
Total Resources,868580,2025-26,proposed,budget-fy2025-26-vol1,98,,fy2025-26
Transfers In,23962,2025-26,approved,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)",tscc
2000 - Revenue - Intermediate Sources,9791,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
3000 - Revenue from State Sources,317100,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
4000 - Revenue from Federal Sources,415,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
5200 - Interfund Transfers,394,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
All Other Budget Resources,2550,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Beginning Fund Balance,41000,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Local Option Property Taxes,103938,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Current Year Property Taxes other than Local Option,358223,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Other Revenue from Local Sources,28701,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
Total Resources,862112,2026-27,adopted,budget-fy2026-27-vol1,108,,fy2026-27
