source,amount_k,fy,basis,doc_id,page,notes,fragment
State Sources (detail subtotal),217062.513,2015-16,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
State Sources,212219.221,2015-16,revised,budget-fy2016-17-book,89,printed subtotal,fy2016-17
State Sources,217062.513,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Total Resources,579158.367,2015-16,revised,budget-fy2016-17-book,89,Total Resources by Account,fy2016-17
Total Resources,583731.903,2015-16,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Total Resources,583732,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
TOTAL,583731.903,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Tuition (detail subtotal),181.105,2015-16,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Tuition,181.105,2015-16,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Tuition,205,2015-16,revised,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Charges for services,49312,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Charges for services,49312,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,15771,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,15772,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7904,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7905,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,71022,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,71024,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,0,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)",acfr-statistical
Investment earnings,3096,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,3097,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,76593,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,76593,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,16214,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,16215,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,287035,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,287036,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5810,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5810,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,211253,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,211253,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,744013,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
