fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
Facilities Capital Fund (438),8344,8344,2022-23,approved,budget-fy2022-23-vol1,237,
Facilities Capital Fund (438),8344,8344,2022-23,adopted,budget-fy2022-23-vol1,237,
Capital Asset Renewal Fund (445),5763,5763,2018-19,actual-budgetary,budget-fy2022-23-vol1,240,requirements-by-object p241 prints 17110 for 2019-20 (rounding)
Capital Asset Renewal Fund (445),17111,17111,2019-20,actual-budgetary,budget-fy2022-23-vol1,240,
Capital Asset Renewal Fund (445),14718,14718,2020-21,actual-budgetary,budget-fy2022-23-vol1,240,
Capital Asset Renewal Fund (445),9475,9475,2021-22,adopted,budget-fy2022-23-vol1,240,
Capital Asset Renewal Fund (445),5663,5663,2022-23,proposed,budget-fy2022-23-vol1,240,
Capital Asset Renewal Fund (445),7760,7760,2022-23,approved,budget-fy2022-23-vol1,240,
Capital Asset Renewal Fund (445),7760,7760,2022-23,adopted,budget-fy2022-23-vol1,240,
GO Bonds Fund (450),453748,453748,2018-19,actual-budgetary,budget-fy2022-23-vol1,244,
GO Bonds Fund (450),821097,821097,2019-20,actual-budgetary,budget-fy2022-23-vol1,244,
GO Bonds Fund (450),1031158,1031158,2020-21,actual-budgetary,budget-fy2022-23-vol1,244,
GO Bonds Fund (450),729144,729144,2021-22,adopted,budget-fy2022-23-vol1,244,
